Board Name,Board Type,School Name,School Type,School Special Condition Code,School Level,School Language,Grade Range,City,Postal Code,Enrolment,Latitude,Longitude,First Language Not English,New to Canada from Non-English Speaking Country,Receiving Special Education Services,Identified as Gifted,Live in Low-Income Households,Parents Have Some University Education,2016 Grade 3 Reading,2019 Grade 3 Reading,2016 Grade 3 Writing,2019 Grade 3 Writing,2016 Grade 3 Math,2019 Grade 3 Math,2016 Grade 6 Reading,2019 Grade 6 Reading,2016 Grade 6 Writing,2019 Grade 6 Writing,2016 Grade 6 Math,2019 Grade 6 Math
Toronto CDSB,Cath Dist Sch Brd (E/F),Josyf Cardinal Slipyj Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9B2R5,575.0,43.66009,-79.5655,489.0,34.0,17.0,12.0,86.0,362.0,525.0,483.0,545.0,529.0,527.0,443.0,540.0,540.0,563.0,512.0,400.0,328.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Mother Cabrini Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9C2N9,185.0,43.6641,-79.5854,28.0,0.0,18.0,0.0,18.0,111.0,138.0,154.0,169.0,144.0,123.0,133.0,150.0,185.0,130.0,166.0,99.0,115.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Msgr John Corrigan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9V5B4,235.0,43.75107,-79.6052,59.0,47.0,47.0,0.0,70.0,82.0,168.0,101.0,151.0,110.0,113.0,94.0,146.0,127.0,146.0,162.0,82.0,73.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Nativity of Our Lord Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9C3T8,450.0,43.65348,-79.5758,90.0,45.0,68.0,0.0,135.0,225.0,386.0,320.0,378.0,333.0,316.0,234.0,433.0,450.0,413.0,450.0,352.0,387.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Fatima Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1L1V6,765.0,43.70951,-79.2931,145.0,92.0,107.0,8.0,260.0,360.0,569.0,620.0,602.0,620.0,445.0,436.0,557.0,574.0,575.0,650.0,329.0,375.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Grace Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1V1E5,255.0,43.81224,-79.2733,76.0,13.0,13.0,13.0,76.0,102.0,186.0,184.0,188.0,212.0,166.0,128.0,237.0,194.0,247.0,240.0,172.0,122.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Guadalupe Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M2J3C2,170.0,43.78995,-79.3539,68.0,34.0,26.0,0.0,76.0,102.0,156.0,133.0,155.0,119.0,106.0,82.0,159.0,156.0,169.0,144.0,106.0,53.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Lourdes Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4X1K2,575.0,43.66623,-79.3744,218.0,92.0,86.0,0.0,264.0,288.0,416.0,437.0,442.0,420.0,338.0,368.0,437.0,437.0,475.0,494.0,238.0,236.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Peace Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9B1T6,650.0,43.64646,-79.5409,111.0,20.0,46.0,26.0,98.0,429.0,N/A,N/A,N/A,N/A,460.0,455.0,592.0,598.0,570.0,598.0,429.0,416.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Perpetual Help Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4T1E6,370.0,43.68697,-79.3834,37.0,18.0,37.0,18.0,37.0,333.0,371.0,352.0,363.0,352.0,361.0,303.0,345.0,359.0,356.0,370.0,253.0,248.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Sorrows Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M8X1Z4,745.0,43.64895,-79.5188,97.0,22.0,67.0,60.0,74.0,566.0,650.0,663.0,650.0,611.0,574.0,551.0,699.0,685.0,687.0,708.0,592.0,551.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Victory Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6N4N3,675.0,43.68329,-79.4893,216.0,101.0,115.0,0.0,230.0,162.0,413.0,425.0,385.0,412.0,286.0,277.0,352.0,331.0,358.0,344.0,69.0,61.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of Wisdom Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Scarborough,M1R4R7,385.0,43.76164,-79.3082,77.0,19.0,38.0,19.0,116.0,192.0,N/A,N/A,N/A,N/A,244.0,127.0,330.0,346.0,365.0,339.0,178.0,169.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Our Lady of the Assumption Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6B3C2,365.0,43.71656,-79.4315,182.0,91.0,36.0,0.0,73.0,219.0,221.0,245.0,259.0,285.0,189.0,172.0,225.0,277.0,261.0,318.0,114.0,113.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Pope Francis Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6J3A6,250.0,43.65156,-79.421,50.0,0.0,50.0,0.0,38.0,138.0,211.0,228.0,226.0,228.0,164.0,195.0,204.0,218.0,194.0,210.0,103.0,105.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Precious Blood Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1R2G8,475.0,43.7394,-79.3029,214.0,119.0,48.0,0.0,190.0,190.0,337.0,361.0,384.0,380.0,311.0,299.0,274.0,318.0,318.0,375.0,109.0,100.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Prince of Peace Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1V4E7,280.0,43.82541,-79.2788,126.0,14.0,28.0,28.0,84.0,70.0,249.0,274.0,249.0,266.0,211.0,238.0,260.0,263.0,280.0,263.0,205.0,207.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Regina Mundi Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6B2P9,370.0,43.71006,-79.4593,92.0,18.0,37.0,0.0,74.0,130.0,302.0,326.0,333.0,326.0,282.0,237.0,310.0,270.0,314.0,289.0,121.0,70.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Sacred Heart Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1B4S3,255.0,43.81222,-79.2207,51.0,0.0,76.0,0.0,76.0,76.0,178.0,201.0,156.0,181.0,138.0,145.0,181.0,181.0,194.0,194.0,112.0,133.0
Toronto CDSB,Cath Dist Sch Brd (E/F),Santa Maria Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6N4X8,230.0,43.68132,-79.4778,115.0,23.0,34.0,0.0,69.0,46.0,100.0,120.0,103.0,110.0,62.0,69.0,159.0,196.0,156.0,184.0,77.0,92.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Agatha Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1M2T6,430.0,43.72359,-79.2299,43.0,22.0,43.0,22.0,108.0,215.0,256.0,292.0,377.0,249.0,245.0,228.0,370.0,396.0,358.0,387.0,143.0,133.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Agnes Catholic School,Catholic,Not applicable,Elementary,English,JK-8,North York,M2M2T2,315.0,43.79853,-79.4026,94.0,63.0,32.0,16.0,94.0,252.0,276.0,287.0,266.0,287.0,257.0,239.0,227.0,186.0,244.0,220.0,113.0,94.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Aidan Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1W2S2,295.0,43.79751,-79.3093,133.0,88.0,15.0,0.0,118.0,118.0,202.0,230.0,206.0,218.0,191.0,174.0,219.0,239.0,234.0,239.0,160.0,142.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Albert Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1K4H2,425.0,43.74377,-79.2613,128.0,42.0,64.0,0.0,128.0,170.0,292.0,298.0,287.0,264.0,218.0,255.0,331.0,285.0,337.0,340.0,160.0,170.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Alphonsus Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6C3N9,240.0,43.68313,-79.4317,72.0,24.0,48.0,0.0,60.0,144.0,149.0,156.0,160.0,144.0,99.0,84.0,151.0,178.0,160.0,209.0,96.0,137.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Ambrose Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M8W2N9,405.0,43.6477,-79.4321,81.0,0.0,40.0,0.0,40.0,202.0,371.0,360.0,366.0,373.0,349.0,328.0,405.0,304.0,405.0,336.0,298.0,170.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Andre Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M3L1C9,615.0,43.72357,-79.5175,178.0,160.0,86.0,0.0,228.0,117.0,395.0,529.0,368.0,486.0,357.0,400.0,433.0,338.0,461.0,424.0,166.0,148.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Andrew Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9V3A8,705.0,43.74488,-79.5821,190.0,176.0,63.0,0.0,324.0,169.0,377.0,388.0,442.0,402.0,251.0,254.0,345.0,345.0,435.0,479.0,170.0,148.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Angela Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9V3Z5,515.0,43.75426,-79.5974,139.0,98.0,77.0,0.0,191.0,134.0,345.0,335.0,320.0,294.0,181.0,139.0,369.0,273.0,331.0,232.0,90.0,57.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Anselm Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M4G3J9,360.0,43.70535,-79.3716,54.0,18.0,36.0,18.0,54.0,288.0,334.0,284.0,337.0,313.0,311.0,202.0,345.0,335.0,330.0,360.0,262.0,270.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Anthony Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6H1L9,340.0,43.66342,-79.4348,68.0,34.0,85.0,0.0,68.0,170.0,262.0,296.0,253.0,258.0,195.0,214.0,274.0,279.0,292.0,269.0,186.0,207.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Antoine Daniel Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M2N2J2,415.0,43.77712,-79.4296,124.0,83.0,42.0,0.0,124.0,249.0,371.0,382.0,355.0,344.0,290.0,232.0,305.0,290.0,320.0,320.0,130.0,133.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Augustine Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M3N1S9,570.0,43.76808,-79.5248,160.0,108.0,57.0,6.0,234.0,80.0,360.0,353.0,413.0,376.0,206.0,165.0,331.0,331.0,354.0,393.0,82.0,80.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Barbara Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1G1Y2,325.0,43.76244,-79.2188,81.0,65.0,32.0,0.0,130.0,81.0,176.0,218.0,173.0,182.0,123.0,153.0,300.0,276.0,294.0,276.0,154.0,143.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Barnabas Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1B1H3,290.0,43.79734,-79.2284,58.0,29.0,29.0,0.0,87.0,102.0,210.0,241.0,236.0,252.0,145.0,151.0,278.0,267.0,290.0,278.0,202.0,232.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Bartholomew Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1S2E2,90.0,43.78982,-79.2715,18.0,0.0,9.0,0.0,18.0,45.0,82.0,75.0,90.0,75.0,68.0,75.0,N/A,N/A,N/A,N/A,N/A,N/A
Toronto CDSB,Cath Dist Sch Brd (E/F),St Bede Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M1B5H3,145.0,43.81809,-79.2068,29.0,14.0,22.0,0.0,36.0,44.0,118.0,72.0,128.0,64.0,92.0,55.0,121.0,130.0,133.0,145.0,86.0,130.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Benedict Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M9W4K9,635.0,43.72316,-79.5728,146.0,44.0,102.0,6.0,114.0,267.0,557.0,546.0,587.0,546.0,509.0,489.0,545.0,540.0,544.0,533.0,227.0,184.0
Toronto CDSB,Cath Dist Sch Brd (E/F),St Bernard Catholic School,Catholic,Not applicable,Elementary,English,JK-8,Toronto,M6M4W4,680.0,43.7027,-79.5,190.0,54.0,88.0,0.0,231.0,136.0,488.0,537.0,548.0,537.0,456.0,456.0,422.0,422.0,495.0,530.0,111.0,109.0
