Neighbourhood,population_2016,english,percent_english,french,percent_french,non_official_languages,percent_nol,low_income,percent_low,midplus_income,percent_midplus
Casa Loma,10968,8255,0.7526440554339898,200,0.01823486506199854,2180,0.1987600291757841,2320,0.21152443471918309,8470,0.7722465353756383
Centennial Scarborough,13362,9135,0.6836551414458913,130,0.00972908247268373,3640,0.2724143092351444,1945,0.14556204161053735,11395,0.8527914982787008
Church-Yonge Corridor,31340,17950,0.5727504786215699,920,0.029355456285896617,11000,0.3509891512444161,11850,0.3781110402042119,18480,0.589661774090619
Clairlea-Birchmount,26984,12770,0.4732434034983694,300,0.011117699377408835,11900,0.4410020753038838,9750,0.3613252297657871,16550,0.6133264156537207
Clanton Park,16472,8625,0.5236158329286061,180,0.010927634774162214,6885,0.4179820301117047,5040,0.305973773676542,11375,0.6905658086449733
Cliffcrest,15935,10335,0.6485723250705994,145,0.009099466582993411,4905,0.307812990272984,5000,0.3137747097583935,10805,0.6780671477878883
Corso Italia-Davenport,14133,6555,0.46380810868180855,165,0.011674803651029506,6855,0.4850350244109531,4340,0.3070827142149579,9745,0.689520979268379
Danforth,9666,6245,0.6460790399337886,215,0.022242913304365817,2845,0.29433064349265464,2765,0.28605421063521624,6830,0.7066004552038072
Danforth East York,17180,10745,0.6254365541327125,355,0.020663562281722933,5455,0.31752037252619325,4450,0.2590221187427241,12620,0.7345750873108265
Don Valley Village,27051,7965,0.29444382832427635,235,0.008687294369893904,17155,0.634172489002255,11180,0.4132934087464419,15650,0.5785368378248493
Dorset Park,25003,9615,0.3845538535375755,200,0.007999040115186177,13120,0.5247370315562132,11005,0.44014718233811945,13385,0.535335759708835
Dovercourt-Wallace Emerson-Junction,36625,19345,0.5281911262798635,510,0.013924914675767917,15230,0.4158361774744027,13385,0.3654607508532423,22910,0.6255290102389078
Downsview-Roding-CFB,35052,15010,0.4282209289056259,215,0.006133744151546274,18115,0.5168036060709803,14275,0.40725208262010726,20665,0.5895526646125756
Dufferin Grove,11785,6630,0.5625795502757743,210,0.017819261773440814,4550,0.38608400509121765,4435,0.37632583792957147,7280,0.6177344081459483
East End-Danforth,21381,15525,0.7261119685702259,385,0.018006641410598195,4645,0.21724895935643795,6610,0.3091529862962443,14400,0.6734951592535429
Edenbridge-Humber Valley,15535,8240,0.5304151915030576,185,0.011908593498551657,6370,0.4100418410041841,3390,0.21821692951400065,11815,0.7605407145156099
Eglinton East,22776,10970,0.48164734808570425,310,0.013610818405338954,10025,0.44015630488233226,10935,0.48011064278187565,11330,0.4974534597822269
Elms-Old Rexdale,9456,4930,0.5213620981387479,45,0.004758883248730965,4060,0.4293570219966159,4395,0.4647842639593909,5050,0.5340524534686971
Englemount-Lawrence,22372,12695,0.5674503844090828,180,0.008045771500089397,8175,0.3654121222957268,8925,0.39893617021276595,12980,0.5801895226175576
Eringate-Centennial-West Deane,18588,9670,0.5202281041532171,175,0.00941467613514095,8060,0.43361308370992035,3935,0.21169571766731224,14595,0.7851839896707553
Etobicoke West Mall,11848,5355,0.45197501688048614,85,0.0071742066171505735,5575,0.47054355165428763,4240,0.35786630654962864,7220,0.6093855503038488
Flemingdon Park,21933,6240,0.28450280399398165,210,0.009574613595951307,14025,0.6394474080153194,12715,0.5797200565358136,9190,0.41900332831805953
Forest Hill North,12806,7705,0.6016710916757769,165,0.012884585350616899,4385,0.3424176167421521,3785,0.2955645791035452,8885,0.6938153990317039
Forest Hill South,10732,8060,0.7510249720462169,155,0.01444278792396571,2315,0.21571002609019754,2040,0.19008572493477452,8570,0.7985464032799106
